deep_id	collection	greg_full	work_id
1159		"788a(*1,, ‡2)"	788
1160		788a(†1‡2)	788
1161		790a(i)	790
1162		790a(ii)	790
1163		791a	791
1164		792a	792
1165		793a(*)	793
1166		793a(†)	793
1167		794a	794
1168		797a(*)	797
1169		797a(†)	797
1170		798a	798
1171		799a	799
1172		800a	800
1173		801a	801
1174		802a	802
1175		803a	803
1176		804a(i)	804
1177		805a	805
1178		810a	810
1179		812a	812
1180		813a	813
1181		814a(i)	814
1182			814.5
1183		L1a	1001
1184		L4a(*)	1004
1185		L4a(†)	1004
1186		L5a(i)	1005
1187		L5a(ii)	1005
1188		L5b(i)	1005
1189		L5b(ii)	1005
1190		L6a	1006
1191		L6a	1006
1192		L7a	1007
1193		L8a(*)	1008
1194		L8a(†)	1008
1195		L8b	1008
1196		L8c	1008
1197		L8d	1008
1198		L9a	1009
1199		L10a	1010
1200		L11a	1011
1201		L11b	1011
1202		L12a	1012
1203		L13a(*)	1013
1204		L13a(†)	1013
1205		L14a	1014
1206		L15a	1015
1207		L16a	1016
1208		L17a(i)	1017
1209		L17a(ii)	1017
1210		L18a(i)	1018
1211		L18a(ii)	1018
1212		L23a(i)	1023
1213		L23a(ii)	1023
5000	c1a	n/a	2001
5000.01		1a	1
5000.02		2a	2
5001	c2a	n/a	2002
5001.01		8a	8
5001.02		9a	9
5002	c3a	n/a	2003
5002.01		17a	17
5002.02		18a	18
5003	c4a	n/a	2004
5003.01		32a	32
5004	c4b	n/a	2004
5004.01		32b	32
5005	c5a	n/a	2005
5005.01		39b	39
5006	c6a	n/a	2006
5006.01		60a	60
5006.02		61a	61
5006.03		62a	62
5007	c6b(i)	n/a	2006
5007.01		62b	62
5007.02		60b	60
5007.03		61b	61
5008	c6b(ii)	n/a	2006
5009	c6c(*)	n/a	2006
5009.01		62c	62
5009.02		60c	60
5009.03		61c	61
5009.04		90a	90
5010	c6c(†)	n/a	2006
5011	c7a(*)	n/a	2007
5011.01		66a	66
5012	c7a(†)	n/a	2007
5013	c7b	n/a	2007
5013.01		66b	66
5014	c8a	n/a	2008
5014.01		73a	73
5014.02		74a	74
5015	c9a	n/a	2009
5015.01		34b	34
5015.02		29b	29
5015.03		79a	79
5015.04		80a	80
5015.05		36b	36
5015.06		28d	28
5015.07		44b	44
5015.08		42b	42
5015.09		45b	45
5015.10		81a	81
5016	c10a	n/a	2010
5016.01		39c	39
5017	c11a	n/a	2011
