deep_id	greg	stc	author_name	title12	11a	22607	Skelton, John	Magnificence
638	334f	B1609	Fletcher, John	The Scornful Lady
638	334f	B1609	Beaumont, Francis	The Scornful Lady
640	334g	B1608	Fletcher, John	The Scornful Lady
640	334g	B1608	Beaumont, Francis	The Scornful Lady
639	334h	B1608A	Fletcher, John	The Scornful Lady
639	334h	B1608A	Beaumont, Francis	The Scornful Lady
641	335a	18266	M, A.	Chrysanaleia: The Golden Fishing, or Honor of Fishmongers
645	337a*	21519	S., S.	The Honest Lawyer
646	337a†	21519a	S., S.	The Honest Lawyer
653	353a	13617	Holiday, Barten	Technogamia, or The Marriages of the Arts
654	353b	13618	Holiday, Barten	Technogamia, or The Marriages of the Arts
656	355a	18278	M, A.	Siderothriambos, or Steel and Iron Triumphing
650	352ai	17911	Middleton, Thomas	A Fair Quarrel
650	352ai	17911	Rowley, William	A Fair Quarrel
651	352aii	17911a	Middleton, Thomas	A Fair Quarrel
651	352aii	17911a	Rowley, William	A Fair Quarrel
652	352b	17912	Middleton, Thomas	A Fair Quarrel
652	352b	17912	Rowley, William	A Fair Quarrel
655	354a	1803	Hans Beer-Pot	Hans Beer-Pot (See Me and See Me Not)
657	356ai	10851	Field, Nathan	Amends for Ladies
658	356aii	10852	Field, Nathan	Amends for Ladies
659	356b	10853	Field, Nathan	Amends for Ladies
663	357c	1679	Fletcher, John	The Maid's Tragedy
663	357c	1679	Beaumont, Francis	The Maid's Tragedy
664	357d	1680	Fletcher, John	The Maid's Tragedy
664	357d	1680	Beaumont, Francis	The Maid's Tragedy
665	357e	B1594	Fletcher, John	The Maid's Tragedy
665	357e	B1594	Beaumont, Francis	The Maid's Tragedy
666	357fi	B1595	Fletcher, John	The Maid's Tragedy
666	357fi	B1595	Beaumont, Francis	The Maid's Tragedy
667	357fii	B1595	Fletcher, John	The Maid's Tragedy
667	357fii	B1595	Beaumont, Francis	The Maid's Tragedy
668	358a	17887	Middleton, Thomas	The Inner-Temple Masque, or The Masque of Heroes
694	379a	22305	Shakespeare, William	Othello, the Moor of Venice
695	379c	22306	Shakespeare, William	Othello, the Moor of Venice
696	379e	S2939	Shakespeare, William	Othello, the Moor of Venice
669	359a	17902	Middleton, Thomas	The Triumphs of Love and Antiquity
670	360a	1670	Fletcher, John	A King and No King
670	360a	1670	Beaumont, Francis	A King and No King
671	360b	1671	Fletcher, John	A King and No King
671	360b	1671	Beaumont, Francis	A King and No King
672	360c	1672	Fletcher, John	A King and No King
672	360c	1672	Beaumont, Francis	A King and No King
673	360d	1673	Fletcher, John	A King and No King
673	360d	1673	Beaumont, Francis	A King and No King
674	360e	B1589	Fletcher, John	A King and No King
674	360e	B1589	Beaumont, Francis	A King and No King
677	363a*	1681	Fletcher, John	Philaster, or Love Lies a-Bleeding
677	363a*	1681	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
678	363a†	1681.5	Fletcher, John	Philaster, or Love Lies a-Bleeding
678	363a†	1681.5	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
679	363b	1682	Fletcher, John	Philaster, or Love Lies a-Bleeding
